app_name,app_id,count
BeamNG.drive,284160,2070
To the Moon,206440,6680
Rocket League,252950,29549
ARK: Survival Evolved,346110,45021
Tabletop Simulator,286160,1713
Cave Story+,200900,557
Dishonored,205100,5978
Half-Life 2: Episode Two,420,1523
Rust,252490,37791
Darkest Dungeon®,262060,8190
Guacamelee! Super Turbo Championship Edition,275390,330
BattleBlock Theater,238460,9085
Castle Crashers,204360,9973
Undertale,391540,19842
Terraria,105600,39895
The Elder Scrolls Online,306130,4176
Don't Starve,219740,9985
Keep Talking and Nobody Explodes,341800,1327
Axiom Verge,332200,684
The Walking Dead,207610,4873
Arma 3,107410,18607
Euro Truck Simulator 2,227300,22857
Half-Life,70,3063
Broforce,274190,5428
Gunpoint,206190,1757
RollerCoaster Tycoon World,282560,203
The Elder Scrolls V: Skyrim,72850,55402
BioShock Infinite,8870,11634
Dying Light,239140,19209
Down To One,334040,233
The Wolf Among Us,250320,3614
Total War: ROME II - Emperor Edition,214950,6849
The Sims(TM) 3,47890,1414
Mark of the Ninja,214560,2156
Batman: Arkham Asylum GOTY Edition,35140,3046
Age of Empires II (2013),221380,8113
FINAL FANTASY XIV Online,39210,2084
Outlast,238320,5484
Just Cause 3,225540,7316
Mount & Blade: Warband,48700,12039
STAR WARS™ Empire at War: Gold Pack,32470,1007
The Room,288160,1147
Subnautica,264710,5620
Tom Clancy's Rainbow Six Siege,359550,4282
Portal 2,620,17253
X Rebirth,2870,1090
The Witcher 3: Wild Hunt,292030,23901
The Binding of Isaac,113200,6535
Duck Game,312530,2195
Nether,247730,3099
Kenshi,233860,590
Super Meat Boy,40800,3935
Titan Souls,297130,875
"Papers, Please",239030,2852
The Binding of Isaac: Rebirth,250900,15768
Saints Row: The Third,55230,7335
Grand Theft Auto V,271590,73864
Don't Starve Together,322330,14359
HuniePop,339800,5577
Garry's Mod,4000,63858
Shovel Knight: Treasure Trove,250760,2160
X-Blades,7510,665
Tomb Raider,203160,14471
South Park™: The Stick of Truth™,213670,7302
Banished,242920,5117
Fallout 4,377160,37719
FTL: Faster Than Light,212680,5723
One Finger Death Punch,264200,3658
The Forest,242760,13378
Sid Meier's Civilization V,8930,18253
Deus Ex: The Fall,258180,661
Hotline Miami,219150,6974
Volgarr the Viking,247240,579
Takedown: Red Sabre,236510,849
Super Hexagon,221640,2594
Cities: Skylines,255710,17185
Europa Universalis IV,236850,6037
20XX,322110,159
PAYDAY 2,218620,75775
Counter-Strike: Source,240,11530
Black Mesa,362890,2700
